0.01,-1.03249e-20,3.42024e-21,0.79946,0,1,2.58487e-20,0,-1.87255e-20,1.25538e-20,-8.9029e-22,3.17089e-22,-2.75267e-21,-1.57595e-20,-4.43302e-20,-1.31243e-22,2.8071e-21,-6.70528e-21,-5.28335e-20,-1.43982e-20,-2.24626e-20,4.75979e-22,5.02051e-20,3.82983e-20,1.96302e-20,1.79127e-20,3.74272e-22
0.011,-1.17837e-20,3.89146e-21,0.799353,0,1,2.96743e-20,0,-2.01263e-20,1.40814e-20,-2.55606e-21,3.61963e-22,-3.09684e-21,-1.81461e-20,-5.13853e-20,-1.51629e-22,3.17234e-21,-6.39753e-21,-5.90042e-20,-1.70378e-20,-2.51349e-20,5.53229e-22,5.81047e-20,4.30545e-20,2.28365e-20,2.03479e-20,4.334e-22
0.012,-1.33862e-20,4.03401e-21,0.799235,0,1,3.35796e-20,0,-2.20961e-20,1.59318e-20,-2.80336e-21,4.14737e-22,-3.49497e-21,-2.08136e-20,-5.67719e-20,-1.69228e-22,3.56608e-21,-8.70246e-21,-6.58155e-20,-1.99295e-20,-2.7576e-20,6.34873e-22,6.52929e-20,4.82688e-20,2.60217e-20,2.33546e-20,4.94018e-22
0.013,-1.50156e-20,4.09924e-21,0.799107,0,1,3.75417e-20,0,-2.42495e-20,1.7972e-20,-3.08326e-21,4.67443e-22,-3.9051e-21,-2.36638e-20,-6.28769e-20,-1.88696e-22,3.96913e-21,-1.23132e-20,-7.25073e-20,-2.30184e-20,-3.07016e-20,7.20534e-22,7.30771e-20,5.32326e-20,2.94031e-20,2.69604e-20,5.56877e-22
0.014,-1.70838e-20,4.47289e-21,0.79897,0,1,4.24842e-20,0,-2.67568e-20,2.02242e-20,-3.83578e-21,5.2688e-22,-4.38996e-21,-2.69151e-20,-6.96284e-20,-2.11078e-22,4.45441e-21,-1.42069e-20,-8.16514e-20,-2.58849e-20,-3.36984e-20,8.14428e-22,8.26437e-20,6.03237e-20,3.28233e-20,3.08251e-20,6.29668e-22
0.015,-1.94122e-20,5.41418e-21,0.798823,0,1,4.83334e-20,0,-2.98495e-20,2.31921e-20,-7.34754e-21,5.93617e-22,-4.96425e-21,-3.09314e-20,-7.85563e-20,-2.46305e-22,5.06317e-21,-1.21755e-20,-9.23636e-20,-2.85489e-20,-3.70524e-20,9.13617e-22,9.44253e-20,6.8297e-20,3.60799e-20,3.49907e-20,7.06125e-22
0.016,-2.16871e-20,6.5605e-21,0.798666,0,1,5.44923e-20,0,-3.28904e-20,2.61183e-20,-1.19626e-20,6.59156e-22,-5.5258e-21,-3.49678e-20,-8.76462e-20,-2.80937e-22,5.66091e-21,-8.6003e-21,-1.02797e-19,-3.09327e-20,-4.03935e-20,1.00827e-21,1.07818e-19,7.60423e-20,3.90948e-20,3.95311e-20,7.79506e-22
0.017,-2.41494e-20,7.71596e-21,0.798499,0,1,6.10493e-20,0,-3.599e-20,2.88903e-20,-1.67282e-20,7.23744e-22,-6.12686e-21,-3.89171e-20,-9.76236e-20,-3.16786e-22,6.31376e-21,-5.44101e-21,-1.14319e-19,-3.34253e-20,-4.41382e-20,1.10769e-21,1.2092e-19,8.48122e-20,4.23038e-20,4.36019e-20,8.5662e-22
0.018,-2.66204e-20,8.8076e-21,0.798322,0,1,6.77829e-20,0,-3.91849e-20,3.16978e-20,-2.1094e-20,7.87305e-22,-6.74642e-21,-4.28246e-20,-1.07123e-19,-3.55121e-22,6.9877e-21,-3.56506e-21,-1.25824e-19,-3.6183e-20,-4.76836e-20,1.20758e-21,1.33953e-19,9.34343e-20,4.55548e-20,4.7832e-20,9.32032e-22
0.019,-2.91804e-20,9.80706e-21,0.798136,0,1,7.46423e-20,0,-4.24416e-20,3.48029e-20,-2.58141e-20,8.54134e-22,-7.39081e-21,-4.70858e-20,-1.16405e-19,-3.96817e-22,7.68462e-21,-2.1314e-21,-1.37445e-19,-3.90632e-20,-5.14547e-20,1.31037e-21,1.45981e-19,1.02124e-19,4.89273e-20,5.17583e-20,1.00989e-21
